Symbol,Trade DATE,NOCP
AAPL,2019-05-09,200.72
AAPL,2019-05-08,202.9
AAPL,2019-05-07,202.86
AAPL,2019-05-06,208.48
AAPL,2019-05-03,211.75
AAPL,2019-05-02,209.15
AAPL,2019-05-01,210.52
AAPL,2019-04-30,200.67
AAPL,2019-04-29,204.61
AAPL,2019-04-26,204.3
AAPL,2019-04-25,205.28
AAPL,2019-04-24,207.16
AAPL,2019-04-23,207.48
AAPL,2019-04-22,204.53
AAPL,2019-04-18,203.86
AAPL,2019-04-17,203.13
AAPL,2019-04-16,199.25
AAPL,2019-04-15,199.23
AAPL,2019-04-12,198.87
AAPL,2019-04-11,198.95
AAPL,2019-04-10,200.62
AAPL,2019-04-09,199.5
AAPL,2019-04-08,200.1
AAPL,2019-04-05,197
AAPL,2019-04-04,195.69
AAPL,2019-04-03,195.35
AAPL,2019-04-02,194.02
AAPL,2019-04-01,191.24
AAPL,2019-03-29,189.95
AAPL,2019-03-28,188.72
AAPL,2019-03-27,188.47
AAPL,2019-03-26,186.79
AAPL,2019-03-25,188.74
AAPL,2019-03-22,191.05
AAPL,2019-03-21,195.09
AAPL,2019-03-20,188.16
AAPL,2019-03-19,186.53
AAPL,2019-03-18,188.02
AAPL,2019-03-15,186.12
AAPL,2019-03-14,183.73
AAPL,2019-03-13,181.71
AAPL,2019-03-12,180.91
AAPL,2019-03-11,178.9
AAPL,2019-03-08,172.91
AAPL,2019-03-07,172.5
AAPL,2019-03-06,174.52
AAPL,2019-03-05,175.53
AAPL,2019-03-04,175.85
AAPL,2019-03-01,174.97
AAPL,2019-02-28,173.15
AAPL,2019-02-27,174.87
AAPL,2019-02-26,174.33
AAPL,2019-02-25,174.23
AAPL,2019-02-22,172.97
AAPL,2019-02-21,171.06
AAPL,2019-02-20,172.03
AAPL,2019-02-19,170.93
AAPL,2019-02-15,170.42
AAPL,2019-02-14,170.8
AAPL,2019-02-13,170.18
AAPL,2019-02-12,170.89
AAPL,2019-02-11,169.43
AAPL,2019-02-08,170.41
AAPL,2019-02-07,170.94
AAPL,2019-02-06,174.24
AAPL,2019-02-05,174.18
AAPL,2019-02-04,171.25
AAPL,2019-02-01,166.52
AAPL,2019-01-31,166.44
AAPL,2019-01-30,165.25
AAPL,2019-01-29,154.68
AAPL,2019-01-28,156.3
AAPL,2019-01-25,157.76
AAPL,2019-01-24,152.7
AAPL,2019-01-23,153.92
AAPL,2019-01-22,153.3
AAPL,2019-01-18,156.82
AAPL,2019-01-17,155.86
AAPL,2019-01-16,154.94
AAPL,2019-01-15,153.07
AAPL,2019-01-14,150
AAPL,2019-01-11,152.29
AAPL,2019-01-10,153.8
AAPL,2019-01-09,153.31
AAPL,2019-01-08,150.75
AAPL,2019-01-07,147.93
AAPL,2019-01-04,148.26
AAPL,2019-01-03,142.19
AAPL,2019-01-02,157.92
AAPL,2018-12-31,157.74
AAPL,2018-12-28,156.23
AAPL,2018-12-27,156.15
AAPL,2018-12-26,157.17
AAPL,2018-12-24,146.83
AAPL,2018-12-21,150.73
AAPL,2018-12-20,156.83
AAPL,2018-12-19,160.89
AAPL,2018-12-18,166.07
AAPL,2018-12-17,163.94
AAPL,2018-12-14,165.48
AAPL,2018-12-13,170.95
AAPL,2018-12-12,169.1
AAPL,2018-12-11,168.63
AAPL,2018-12-10,169.6
AAPL,2018-12-07,168.49
AAPL,2018-12-06,174.72
AAPL,2018-12-04,176.69
AAPL,2018-12-03,184.82
AAPL,2018-11-30,178.58
AAPL,2018-11-29,179.55
AAPL,2018-11-28,180.94
AAPL,2018-11-27,174.24
AAPL,2018-11-26,174.62
AAPL,2018-11-23,172.29
AAPL,2018-11-21,176.78
AAPL,2018-11-20,176.98
AAPL,2018-11-19,185.86
AAPL,2018-11-16,193.53
AAPL,2018-11-15,191.41
AAPL,2018-11-14,186.8
AAPL,2018-11-13,192.23
AAPL,2018-11-12,194.17
AAPL,2018-11-09,204.47
AAPL,2018-11-08,208.49
AAPL,2018-11-07,209.95
AAPL,2018-11-06,203.77
AAPL,2018-11-05,201.59
AAPL,2018-11-02,207.48
AAPL,2018-11-01,222.22
AAPL,2018-10-31,218.86
AAPL,2018-10-30,213.3
AAPL,2018-10-29,212.24
AAPL,2018-10-26,216.3
AAPL,2018-10-25,219.8
AAPL,2018-10-24,215.09
AAPL,2018-10-23,222.73
AAPL,2018-10-22,220.65
AAPL,2018-10-19,219.31
AAPL,2018-10-18,216.02
AAPL,2018-10-17,221.19
AAPL,2018-10-16,222.15
AAPL,2018-10-15,217.36
AAPL,2018-10-12,222.11
AAPL,2018-10-11,214.45
AAPL,2018-10-10,216.36
AAPL,2018-10-09,226.87
AAPL,2018-10-08,223.77
AAPL,2018-10-05,224.29
AAPL,2018-10-04,227.99
AAPL,2018-10-03,232.07
AAPL,2018-10-02,229.28
AAPL,2018-10-01,227.26
AAPL,2018-09-28,225.74
AAPL,2018-09-27,224.95
AAPL,2018-09-26,220.42
AAPL,2018-09-25,222.19
AAPL,2018-09-24,220.79
AAPL,2018-09-21,217.66
AAPL,2018-09-20,220.03
AAPL,2018-09-19,218.37
AAPL,2018-09-18,218.24
AAPL,2018-09-17,217.88
AAPL,2018-09-14,223.84
AAPL,2018-09-13,226.41
AAPL,2018-09-12,221.07
AAPL,2018-09-11,223.85
AAPL,2018-09-10,218.33
AAPL,2018-09-07,221.3
AAPL,2018-09-06,223.1
AAPL,2018-09-05,226.87
AAPL,2018-09-04,228.36
AAPL,2018-08-31,227.63
AAPL,2018-08-30,225.03
AAPL,2018-08-29,222.98
AAPL,2018-08-28,219.7
AAPL,2018-08-27,217.94
AAPL,2018-08-24,216.16
AAPL,2018-08-23,215.49
AAPL,2018-08-22,215.05
AAPL,2018-08-21,215.04
AAPL,2018-08-20,215.46
AAPL,2018-08-17,217.58
AAPL,2018-08-16,213.32
AAPL,2018-08-15,210.24
AAPL,2018-08-14,209.75
AAPL,2018-08-13,208.87
AAPL,2018-08-10,207.53
AAPL,2018-08-09,208.88
AAPL,2018-08-08,207.25
AAPL,2018-08-07,207.11
AAPL,2018-08-06,209.07
AAPL,2018-08-03,207.99
AAPL,2018-08-02,207.39
AAPL,2018-08-01,201.5
AAPL,2018-07-31,190.29
AAPL,2018-07-30,189.91
