Symbol,Trade DATE,NOCP
COST,2019-05-09,243.47
COST,2019-05-08,241.34
COST,2019-05-07,240.18
COST,2019-05-06,244.23
COST,2019-05-03,244.62
COST,2019-05-02,242.69
COST,2019-05-01,241.59
COST,2019-04-30,245.53
COST,2019-04-29,244.28
COST,2019-04-26,243.82
COST,2019-04-25,245.6
COST,2019-04-24,247.96
COST,2019-04-23,245.58
COST,2019-04-22,243.42
COST,2019-04-18,245.81
COST,2019-04-17,245.56
COST,2019-04-16,245.34
COST,2019-04-15,246.33
COST,2019-04-12,241.95
COST,2019-04-11,241.24
COST,2019-04-10,245.61
COST,2019-04-09,244.91
COST,2019-04-08,246.52
COST,2019-04-05,245.87
COST,2019-04-04,244.4
COST,2019-04-03,242.48
COST,2019-04-02,240.5
COST,2019-04-01,244.19
COST,2019-03-29,242.14
COST,2019-03-28,241.22
COST,2019-03-27,239.41
COST,2019-03-26,239.07
COST,2019-03-25,236.97
COST,2019-03-22,237.56
COST,2019-03-21,239.54
COST,2019-03-20,236.98
COST,2019-03-19,237.05
COST,2019-03-18,236.59
COST,2019-03-15,233.6
COST,2019-03-14,233.84
COST,2019-03-13,236.38
COST,2019-03-12,232.96
COST,2019-03-11,229.69
COST,2019-03-08,227.82
COST,2019-03-07,216.79
COST,2019-03-06,219.23
COST,2019-03-05,219.82
COST,2019-03-04,218.41
COST,2019-03-01,219.44
COST,2019-02-28,218.74
COST,2019-02-27,218.05
COST,2019-02-26,217.61
COST,2019-02-25,217.05
COST,2019-02-22,216.29
COST,2019-02-21,215.23
COST,2019-02-20,217.11
COST,2019-02-19,218.12
COST,2019-02-15,216.47
COST,2019-02-14,213.84
COST,2019-02-13,212.8
COST,2019-02-12,211.9
COST,2019-02-11,208.72
COST,2019-02-08,207.75
COST,2019-02-07,209.05
COST,2019-02-06,211.6
COST,2019-02-05,211.61
COST,2019-02-04,211.18
COST,2019-02-01,210.27
COST,2019-01-31,214.63
COST,2019-01-30,211.35
COST,2019-01-29,210.31
COST,2019-01-28,210.77
COST,2019-01-25,209.07
COST,2019-01-24,210.31
COST,2019-01-23,212.09
COST,2019-01-22,212.4
COST,2019-01-18,213.59
COST,2019-01-17,211.46
COST,2019-01-16,210.18
COST,2019-01-15,211.03
COST,2019-01-14,209
COST,2019-01-11,210.51
COST,2019-01-10,210.64
COST,2019-01-09,209.9
COST,2019-01-08,208.55
COST,2019-01-07,207
COST,2019-01-04,206.24
COST,2019-01-03,200.42
COST,2019-01-02,204.76
COST,2018-12-31,203.71
COST,2018-12-28,202.04
COST,2018-12-27,201.08
COST,2018-12-26,198.63
COST,2018-12-24,189.99
COST,2018-12-21,194.52
COST,2018-12-20,197.13
COST,2018-12-19,201.41
COST,2018-12-18,202.99
COST,2018-12-17,202.23
COST,2018-12-14,207.06
COST,2018-12-13,226.51
COST,2018-12-12,227.8
COST,2018-12-11,226.5
COST,2018-12-10,222.66
COST,2018-12-07,224.86
COST,2018-12-06,233.2
COST,2018-12-04,226.35
COST,2018-12-03,232.08
COST,2018-11-30,231.28
COST,2018-11-29,231
COST,2018-11-28,230.34
COST,2018-11-27,223.01
COST,2018-11-26,219.45
COST,2018-11-23,220.06
COST,2018-11-21,218.57
COST,2018-11-20,219.31
COST,2018-11-19,228.74
COST,2018-11-16,231.02
COST,2018-11-15,229.94
COST,2018-11-14,233.31
COST,2018-11-13,234.14
COST,2018-11-12,234.48
COST,2018-11-09,237.74
COST,2018-11-08,238.7
COST,2018-11-07,240.37
COST,2018-11-06,236.71
COST,2018-11-05,234.45
COST,2018-11-02,230.16
COST,2018-11-01,229.6
COST,2018-10-31,228.63
COST,2018-10-30,227.92
COST,2018-10-29,222.42
COST,2018-10-26,218.19
COST,2018-10-25,226.4
COST,2018-10-24,223.76
COST,2018-10-23,228.75
COST,2018-10-22,229.06
COST,2018-10-19,229.67
COST,2018-10-18,228.58
COST,2018-10-17,228.49
COST,2018-10-16,227.68
COST,2018-10-15,224.51
COST,2018-10-12,226.95
COST,2018-10-11,221.82
COST,2018-10-10,221.05
COST,2018-10-09,224.17
COST,2018-10-08,223.93
COST,2018-10-05,218.82
COST,2018-10-04,231.68
COST,2018-10-03,233.2
COST,2018-10-02,236.35
COST,2018-10-01,234.65
COST,2018-09-28,234.88
COST,2018-09-27,234
COST,2018-09-26,233.81
COST,2018-09-25,232.93
COST,2018-09-24,233.34
COST,2018-09-21,234.76
COST,2018-09-20,233.92
COST,2018-09-19,233.85
COST,2018-09-18,234.35
COST,2018-09-17,232
COST,2018-09-14,235.38
COST,2018-09-13,241.27
COST,2018-09-12,242.44
COST,2018-09-11,244.21
COST,2018-09-10,243.18
COST,2018-09-07,241.46
COST,2018-09-06,236.68
COST,2018-09-05,235.61
COST,2018-09-04,234.68
COST,2018-08-31,233.13
COST,2018-08-30,230.83
COST,2018-08-29,230.19
COST,2018-08-28,230.26
COST,2018-08-27,230.03
COST,2018-08-24,231.28
COST,2018-08-23,229.51
COST,2018-08-22,229.21
COST,2018-08-21,228.54
COST,2018-08-20,227.35
COST,2018-08-17,225.68
COST,2018-08-16,223.19
COST,2018-08-15,221.67
COST,2018-08-14,222
COST,2018-08-13,219.56
COST,2018-08-10,220.31
COST,2018-08-09,218.24
COST,2018-08-08,224.58
COST,2018-08-07,223.86
COST,2018-08-06,222.72
COST,2018-08-03,222.03
COST,2018-08-02,221.12
