Symbol,Trade DATE,NOCP
GOOG,2019-05-09,1162.38
GOOG,2019-05-08,1166.27
GOOG,2019-05-07,1174.1
GOOG,2019-05-06,1189.39
GOOG,2019-05-03,1185.4
GOOG,2019-05-02,1162.61
GOOG,2019-05-01,1168.08
GOOG,2019-04-30,1188.48
GOOG,2019-04-29,1287.58
GOOG,2019-04-26,1272.18
GOOG,2019-04-25,1263.45
GOOG,2019-04-24,1256
GOOG,2019-04-23,1264.55
GOOG,2019-04-22,1248.84
GOOG,2019-04-18,1236.37
GOOG,2019-04-17,1236.34
GOOG,2019-04-16,1227.13
GOOG,2019-04-15,1221.1
GOOG,2019-04-12,1217.87
GOOG,2019-04-11,1204.62
GOOG,2019-04-10,1202.16
GOOG,2019-04-09,1197.25
GOOG,2019-04-08,1203.84
GOOG,2019-04-05,1207.15
GOOG,2019-04-04,1215
GOOG,2019-04-03,1205.92
GOOG,2019-04-02,1200.49
GOOG,2019-04-01,1194.43
GOOG,2019-03-29,1173.31
GOOG,2019-03-28,1168.49
GOOG,2019-03-27,1173.02
GOOG,2019-03-26,1184.62
GOOG,2019-03-25,1193
GOOG,2019-03-22,1205.5
GOOG,2019-03-21,1231.54
GOOG,2019-03-20,1223.97
GOOG,2019-03-19,1198.85
GOOG,2019-03-18,1184.26
GOOG,2019-03-15,1184.46
GOOG,2019-03-14,1185.55
GOOG,2019-03-13,1193.32
GOOG,2019-03-12,1193.2
GOOG,2019-03-11,1175.76
GOOG,2019-03-08,1142.32
GOOG,2019-03-07,1143.3
GOOG,2019-03-06,1157.86
GOOG,2019-03-05,1162.03
GOOG,2019-03-04,1147.8
GOOG,2019-03-01,1140.99
GOOG,2019-02-28,1119.92
GOOG,2019-02-27,1116.05
GOOG,2019-02-26,1115.13
GOOG,2019-02-25,1109.4
GOOG,2019-02-22,1110.37
GOOG,2019-02-21,1096.97
GOOG,2019-02-20,1113.8
GOOG,2019-02-19,1118.56
GOOG,2019-02-15,1113.65
GOOG,2019-02-14,1121.67
GOOG,2019-02-13,1120.16
GOOG,2019-02-12,1121.37
GOOG,2019-02-11,1095.01
GOOG,2019-02-08,1095.06
GOOG,2019-02-07,1098.71
GOOG,2019-02-06,1115.23
GOOG,2019-02-05,1145.99
GOOG,2019-02-04,1132.8
GOOG,2019-02-01,1110.75
GOOG,2019-01-31,1116.37
GOOG,2019-01-30,1089.06
GOOG,2019-01-29,1060.62
GOOG,2019-01-28,1070.08
GOOG,2019-01-25,1090.99
GOOG,2019-01-24,1073.9
GOOG,2019-01-23,1075.57
GOOG,2019-01-22,1070.52
GOOG,2019-01-18,1098.26
GOOG,2019-01-17,1089.9
GOOG,2019-01-16,1080.97
GOOG,2019-01-15,1077.15
GOOG,2019-01-14,1044.69
GOOG,2019-01-11,1057.19
GOOG,2019-01-10,1070.33
GOOG,2019-01-09,1074.66
GOOG,2019-01-08,1076.28
GOOG,2019-01-07,1068.39
GOOG,2019-01-04,1070.71
GOOG,2019-01-03,1016.06
GOOG,2019-01-02,1045.85
GOOG,2018-12-31,1035.61
GOOG,2018-12-28,1037.08
GOOG,2018-12-27,1043.88
GOOG,2018-12-26,1039.46
GOOG,2018-12-24,976.22
GOOG,2018-12-21,979.54
GOOG,2018-12-20,1009.41
GOOG,2018-12-19,1023.01
GOOG,2018-12-18,1028.71
GOOG,2018-12-17,1016.53
GOOG,2018-12-14,1042.1
GOOG,2018-12-13,1061.9
GOOG,2018-12-12,1063.68
GOOG,2018-12-11,1051.75
GOOG,2018-12-10,1039.55
GOOG,2018-12-07,1036.58
GOOG,2018-12-06,1068.73
GOOG,2018-12-04,1050.82
GOOG,2018-12-03,1106.43
GOOG,2018-11-30,1094.43
GOOG,2018-11-29,1088.3
GOOG,2018-11-28,1086.23
GOOG,2018-11-27,1044.41
GOOG,2018-11-26,1048.62
GOOG,2018-11-23,1023.88
GOOG,2018-11-21,1037.61
GOOG,2018-11-20,1025.76
GOOG,2018-11-19,1020
GOOG,2018-11-16,1061.49
